"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtExposure","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","GrLivArea","BedroomAbvGr","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","PavedDrive","WoodDeckSF","PoolArea","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","NewBuild","BSmtFinSFComb","TotalArea","TotalBaths","PorchSF","Neigh_Cat","AgeCat","LastSold","RemodelFromCat","SeasonSale","GarageScore","OverallScore","ExterScore","KitchenScore","GarageGrade"
20,"20","RL",70,7560,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","BrkFace","Plywood","None",0,3,"CBlock",2,525,1029,"GasA",3,2,4,0,1339,3,6,4,0,1,"Attchd",2,1,3,0,0,4,"None",0,"COD","Abnorml",139000,0,504,2368,1,0,2,2,1,2,3,16,30,9,3,1176
21,"60","RL",101,14215,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,4,"PConc",4,1158,1158,"GasA",5,2,4,0,2376,4,9,5,1,5,"BuiltIn",3,3,3,240,0,1,"None",0,"New","Partial",325300,1,0,3534,3.5,154,5,4,4,5,1,16,40,12,4,3412
22,"45","RM",57,7449,"Pave","Grvl","Reg","Bnk",4,"Inside",1,"Norm","Norm","1Fam","1.5Unf",7,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"PConc",2,637,637,"GasA",5,2,3,0,1108,3,6,5,1,5,"Attchd",2,1,1,0,0,5,"None",0,"WD","Normal",139400,0,0,1745,1,205,1,1,3,2,3,16,49,9,4,1120
23,"20","RL",75,9742,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,4,"PConc",2,1777,1777,"GasA",5,2,4,0,1795,3,7,5,1,5,"Attchd",3,2,3,171,0,1,"None",0,"WD","Normal",230000,0,0,3572,2,159,3,4,2,1,2,16,40,12,4,2136
24,"120","RM",44,4224,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",5,7,"Gable","CompShg","CemntBd","CmentBd","None",0,3,"PConc",2,200,1040,"GasA",3,2,4,0,1060,3,6,5,1,4,"Attchd",2,2,3,100,0,1,"None",0,"WD","Normal",129900,0,840,2100,2,110,1,3,3,1,3,16,35,9,3,2288
25,"20","RL",26,8246,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,8,"Gable","CompShg","Plywood","Plywood","None",0,3,"CBlock",3,204,1060,"GasA",5,2,4,0,1060,3,6,5,1,4,"Attchd",2,1,3,406,0,4,"None",0,"WD","Normal",154000,0,856,2120,2,90,2,2,0,4,3,16,40,12,4,1080
26,"20","RL",110,14230,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",640,4,"PConc",2,1566,1566,"GasA",5,2,4,0,1600,3,7,5,1,5,"Attchd",3,3,3,0,0,1,"None",0,"WD","Normal",256300,0,0,3166,2,56,5,4,1,1,3,16,40,12,4,3560
27,"20","RL",60,7200,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"CBlock",3,180,900,"GasA",3,2,4,0,900,3,5,5,0,1,"Detchd",2,2,3,222,0,1,"None",0,"WD","Normal",134800,0,720,1800,1.5,32,2,2,0,4,3,16,35,9,4,2304
28,"20","RL",98,11478,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",200,4,"PConc",2,486,1704,"GasA",5,2,4,0,1704,3,7,5,1,5,"Attchd",3,3,3,0,0,1,"None",0,"WD","Normal",306000,0,1218,3408,3,50,5,4,0,5,3,16,40,12,4,3088
29,"20","RL",47,16321,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",5,207,1484,"GasA",3,2,4,0,1600,2,6,5,2,5,"Attchd",3,1,3,288,0,1,"None",0,"WD","Normal",207500,0,1277,3084,2,258,2,2,4,3,1,16,30,9,3,1276
30,"30","RM",60,6324,"Pave","None","IR1","Lvl",4,"Inside",1,"Feedr","RRNn","1Fam","1Story",4,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"BrkTil",2,520,520,"GasA",2,1,4,0,520,1,4,5,0,1,"Detchd",2,1,3,49,0,1,"None",0,"WD","Normal",68500,0,0,1040,1,87,2,1,2,2,3,12,24,9,2,720
31,"70","C (all)",50,8500,"Pave","Pave","Reg","Lvl",4,"Inside",1,"Feedr","Norm","1Fam","2Story",4,4,"Gambrel","CompShg","BrkFace","BrkFace","None",0,3,"BrkTil",2,649,649,"GasA",3,1,4,0,1317,3,6,5,0,1,"Detchd",2,1,1,0,0,4,"None",0,"WD","Normal",40000,0,0,1966,1,226,1,1,2,2,3,12,16,6,3,1000
32,"20","RL",47,8544,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",2,1228,1228,"GasA",4,2,4,0,1228,3,6,5,0,1,"Attchd",2,1,3,0,0,4,"None",0,"WD","Normal",149350,0,0,2456,1.5,65,2,2,2,5,3,16,30,9,4,1084
33,"20","RL",85,11049,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",4,1234,1234,"GasA",5,2,4,0,1234,3,7,5,0,1,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",179900,1,0,2468,2,30,3,4,2,6,1,16,40,12,4,1936
34,"20","RL",70,10552,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","BrkFace","BrkFace","None",0,3,"CBlock",2,380,1398,"GasA",4,2,4,0,1700,4,6,5,1,5,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",165500,0,1018,3098,2,38,2,2,0,1,2,16,25,9,4,1788
35,"120","RL",60,7313,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",9,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,5,"PConc",2,408,1561,"GasA",5,2,4,0,1561,2,6,5,1,5,"Attchd",4,2,3,203,0,1,"None",0,"WD","Normal",277500,0,1153,3122,3,47,5,4,3,1,2,16,45,15,5,2224
36,"60","RL",108,13418,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",132,4,"PConc",4,1117,1117,"GasA",5,2,4,0,2452,4,9,5,1,5,"BuiltIn",4,3,3,113,0,1,"None",0,"WD","Normal",309000,0,0,3569,3.5,32,5,4,4,5,2,16,40,12,4,2764
37,"20","RL",112,10859,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",2,1097,1097,"GasA",5,2,4,0,1097,3,6,5,0,1,"Attchd",2,2,3,392,0,1,"None",0,"WD","Normal",145000,0,0,2194,1.5,64,3,3,1,3,3,16,25,9,3,2688
38,"20","RL",74,8532,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,3,"CBlock",2,84,1297,"GasA",4,2,4,0,1297,3,5,5,1,4,"Attchd",4,2,3,0,0,1,"None",0,"WD","Normal",153000,0,1213,2594,1.5,0,2,2,1,3,2,16,30,9,3,1992
39,"20","RL",68,7922,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",2,326,1057,"GasA",3,2,4,0,1057,3,5,5,0,1,"Detchd",2,1,3,0,0,1,"None",0,"WD","Abnorml",109000,0,731,2114,2,52,2,2,0,5,1,16,35,12,4,984
40,"90","RL",65,6040,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Duplex","1Story",4,5,"Gable","CompShg","AsbShng","Plywood","None",0,3,"PConc",1,0,0,"GasA",3,1,2,0,1152,2,6,5,0,1,"None",1,0,1,0,0,1,"None",0,"WD","AdjLand",82000,0,0,1152,2,0,2,2,2,1,3,1,20,9,4,0
41,"20","RL",84,8658,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",6,5,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,3,"CBlock",2,445,1088,"GasA",5,2,4,0,1324,3,6,5,1,4,"Attchd",3,2,3,0,0,3,"None",0,"WD","Abnorml",160000,0,643,2412,2,138,2,2,4,1,1,16,30,9,3,1760
42,"20","RL",115,16905,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",5,383,1350,"GasA",4,2,4,0,1328,2,5,5,2,5,"Attchd",3,1,2,0,0,1,"None",0,"WD","Normal",170000,0,967,2678,2,104,4,2,3,1,3,16,30,12,3,1232
43,"85","RL",47,9180,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","SFoyer",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",4,0,840,"GasA",4,2,4,0,884,2,5,5,0,1,"Attchd",3,2,3,240,0,4,"None",0,"WD","Normal",144000,0,840,1724,2,0,3,3,3,1,1,20,35,9,4,2016
44,"20","RL",47,9200,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",4,167,938,"GasA",3,2,4,0,938,3,5,5,0,1,"Detchd",2,1,3,145,0,4,"None",0,"WD","Normal",130250,0,771,1876,2,0,3,3,2,2,3,16,30,9,3,1232
45,"20","RL",70,7945,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","BrkFace","Wd Sdng","None",0,3,"CBlock",2,465,1150,"GasA",5,2,3,0,1150,3,6,5,0,1,"Attchd",3,1,3,0,0,1,"None",0,"WD","Normal",141000,0,685,2300,2,0,2,2,4,1,3,16,30,9,3,1200
46,"120","RL",61,7658,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",9,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,5,"PConc",2,1296,1752,"GasA",5,2,4,0,1752,2,6,5,1,5,"Attchd",3,2,3,196,0,1,"None",0,"WD","Normal",319900,0,456,3504,3,82,5,4,0,1,1,16,45,15,5,2304
47,"50","RL",48,12822,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1.5Fin",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,83,1434,"GasA",5,2,4,0,2149,1,6,5,1,6,"Attchd",3,2,3,168,0,1,"None",0,"WD","Abnorml",239686,0,1351,3583,2.5,241,2,4,1,1,2,16,35,12,4,2680
48,"20","FV",84,11096,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",4,1632,1656,"GasA",5,2,4,0,1656,3,7,5,0,1,"Attchd",3,3,3,0,0,1,"None",0,"WD","Normal",249700,1,24,3312,2,146,4,4,3,6,3,16,40,12,4,3304
49,"190","RM",33,4456,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","2fmCon","2Story",4,5,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"BrkTil",2,736,736,"GasA",4,2,4,0,1452,2,8,5,0,1,"None",1,0,1,0,0,1,"None",0,"New","Partial",113000,0,0,2188,2,102,2,1,1,5,3,1,20,9,9,0
50,"20","RL",66,7742,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",2,192,955,"GasA",5,2,4,0,955,3,6,5,0,1,"Attchd",2,1,3,0,0,4,"None",0,"WD","Normal",127000,0,763,1910,2,0,2,2,3,1,1,16,35,9,3,1544
51,"60","RL",81,13869,"Pave","None","IR2","Lvl",4,"Corner",1,"Norm","Norm","1Fam","2Story",6,6,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",4,612,794,"GasA",4,2,4,0,1470,3,6,5,0,1,"Attchd",4,2,3,0,0,1,"None",0,"WD","Normal",177000,0,182,2264,2.5,75,3,3,3,1,3,16,36,9,3,1552
52,"50","RM",52,6240,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",6,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"PConc",2,816,816,"GasA",3,2,4,360,1176,3,6,5,1,5,"Detchd",2,2,3,112,0,4,"Shed",400,"WD","Normal",114500,0,0,1992,1,0,2,1,4,2,2,16,36,9,3,2112
53,"90","RM",110,8472,"Grvl","None","IR2","Bnk",4,"Corner",2,"RRNn","Norm","Duplex","1Story",5,5,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"CBlock",5,0,816,"GasA",3,1,4,0,816,2,5,5,0,1,"CarPort",2,2,3,106,0,1,"None",0,"WD","Normal",110000,0,816,1632,2,0,1,2,0,1,3,16,25,6,3,2064
54,"20","RL",68,50271,"Pave","None","IR1","Low",4,"Inside",1,"Norm","Norm","1Fam","1Story",9,5,"Gable","WdShngl","WdShing","Wd Shng","None",0,4,"CBlock",5,32,1842,"GasA",4,2,4,0,1842,0,5,5,1,5,"Attchd",4,3,3,857,0,1,"None",0,"WD","Normal",385000,0,1810,3684,2.5,72,4,3,4,2,1,16,45,12,4,3576
55,"80","RL",60,7134,"Pave","None","Reg","Bnk",4,"Inside",2,"Norm","Norm","1Fam","SLvl",5,5,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",2,0,384,"GasA",3,2,4,0,1360,3,6,4,1,4,"Detchd",2,2,3,0,0,4,"None",0,"WD","Normal",130000,0,384,1744,1,50,2,2,3,1,1,16,25,9,3,2288
56,"20","RL",100,10175,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",6,5,"Gable","CompShg","HdBoard","Plywood","BrkFace",272,3,"CBlock",2,935,1425,"GasA",4,2,4,0,1425,3,7,5,1,5,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",180500,0,490,2850,2,407,2,2,2,1,3,16,30,9,3,2304
57,"160","FV",24,2645,"Pave","Pave","Reg","Lvl",4,"Inside",1,"Norm","Norm","Twnhs","2Story",8,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,4,"PConc",2,321,970,"GasA",5,2,4,0,1739,3,7,5,0,1,"Attchd",4,2,3,115,0,1,"None",0,"WD","Abnorml",172500,0,649,2709,3.5,0,4,3,1,4,2,16,40,12,4,1920
58,"60","RL",89,11645,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,860,860,"GasA",5,2,4,0,1720,3,7,5,0,1,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",196500,0,0,2580,2.5,70,3,4,4,1,2,16,35,12,4,2260
59,"60","RL",66,13682,"Pave","None","IR2","HLS",4,"CulDSac",1,"Norm","Norm","1Fam","2Story",10,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1031,5,"PConc",5,1410,1410,"GasA",5,2,4,0,2945,3,10,5,1,5,"BuiltIn",4,3,3,192,0,1,"None",0,"New","Partial",438780,1,0,4355,3.5,37,5,4,4,6,2,16,50,15,4,2564
60,"20","RL",60,7200,"Pave","None","Reg","Bnk",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",4,148,780,"GasA",5,2,4,0,780,2,4,5,0,1,"Detchd",2,1,3,196,0,4,"None",0,"WD","Normal",124900,0,632,1560,1,0,3,3,2,1,1,16,35,9,3,1408
61,"20","RL",63,13072,"Pave","None","Reg","Lvl",4,"Inside",1,"RRAe","Norm","1Fam","1Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",2,217,1158,"GasA",5,2,4,0,1158,3,5,5,0,1,"Detchd",2,2,3,0,0,1,"None",0,"New","Partial",158000,0,941,2316,2.5,50,3,4,4,1,3,16,30,9,4,2304
62,"75","RM",60,7200,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2.5Unf",5,7,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"BrkTil",2,530,530,"GasA",3,1,4,0,1111,3,6,5,0,1,"Detchd",2,1,1,0,0,1,"None",0,"WD","Normal",101000,0,0,1641,1,144,1,1,3,3,2,16,35,9,2,1152
63,"120","RL",44,6442,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",178,4,"PConc",3,1346,1370,"GasA",5,2,4,0,1370,2,6,5,1,5,"Attchd",3,2,3,120,0,1,"None",0,"WD","Normal",202500,1,24,2740,2,49,5,4,3,6,2,16,40,12,4,1936
64,"70","RM",50,10300,"Pave","None","IR1","Bnk",4,"Inside",1,"RRAn","Feedr","1Fam","2Story",7,6,"Gable","CompShg","Stucco","Stucco","None",0,3,"BrkTil",2,576,576,"GasA",4,2,4,0,1710,3,9,5,0,1,"Detchd",2,2,3,12,0,5,"None",0,"WD","Normal",140000,0,0,2286,2,75,2,1,0,2,2,16,42,9,3,1920
65,"60","RL",68,9375,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",573,3,"PConc",2,318,1057,"GasA",5,2,4,0,2034,3,8,5,0,1,"Attchd",3,2,3,576,0,5,"None",0,"WD","Normal",219500,0,739,3091,3.5,36,3,3,1,3,1,16,35,9,4,2580
66,"60","RL",76,9591,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",344,4,"PConc",4,1143,1143,"GasA",5,2,4,0,2473,4,9,5,1,5,"BuiltIn",3,3,3,192,0,1,"None",0,"WD","Normal",317000,0,0,3616,2.5,151,5,4,3,5,2,16,40,12,4,3408
